,NO,NO2,SO2
682.0cm-1,3.133283187199018e+20,8.325984346023977e+20,-1.1459267533223076e+21
683.0cm-1,-8.269259046685191e+18,2.9960260913769497e+19,-2.1691001867084906e+19
684.0cm-1,-2.0934630044356645e+19,4.48615966388982e+19,-2.3926966594541875e+19
685.0cm-1,3.9374583621831885e+18,9.026340796298738e+18,-1.2963799158482078e+19
686.0cm-1,-9.132548458701719e+19,1.103895794965897e+20,-1.9064094909572317e+19
687.0cm-1,1.2445219996753188e+20,2.374647789613513e+20,-3.6191697892888884e+20
688.0cm-1,-2.560448346820166e+20,4.6631772899063595e+20,-2.1027289430863675e+20
689.0cm-1,-6.129627346603585e+18,2.564847763239868e+19,-1.951885028579489e+19
690.0cm-1,1.5242649030239003e+19,9.489826013624299e+19,-1.1014090916648301e+20
691.0cm-1,-6.303960888557148e+17,3.740730298345467e+19,-3.677690689459839e+19
692.0cm-1,9.416126931372777e+19,1.3487066395818995e+20,-2.2903193327191674e+20
693.0cm-1,-2.4640789498470183e+19,6.456909229268309e+19,-3.992830279421363e+19
694.0cm-1,6.654991559637002e+19,2.7763367004451314e+20,-3.441835856408906e+20
695.0cm-1,1.0520297216594611e+21,1.9020390454420982e+21,-2.9540687671015936e+21
696.0cm-1,-3.0721329364745654e+19,1.1417865413833241e+20,-8.345732477358463e+19
697.0cm-1,4.347049513032241e+18,2.955006399949896e+19,-3.389711351253079e+19
698.0cm-1,3.806987825863552e+19,4.4122063612858243e+20,-4.7929051438721375e+20
699.0cm-1,6.763813157613411e+20,1.5228658713410027e+21,-2.1992471871023667e+21
700.0cm-1,1.8407242540761315e+19,5.744918886841551e+19,-7.58564314091755e+19
701.0cm-1,-2.0283718211283275e+20,6.121666370765212e+20,-4.0932945496370466e+20
702.0cm-1,-9.494352119344726e+18,4.02184195650276e+19,-3.0724067445682217e+19
703.0cm-1,-4.8316875106985e+18,3.6680089036714705e+19,-3.184840152601622e+19
704.0cm-1,-1.5392483329705925e+20,6.760447576389701e+20,-5.221199243419042e+20
705.0cm-1,-3.7163711492912854e+20,4.9772599811883794e+20,-1.2608888318969815e+20
706.0cm-1,2.5484920916198464e+20,1.6444857494237849e+21,-1.8993349585857722e+21
707.0cm-1,-5.1610824460917875e+19,5.992002185206002e+20,-5.475893940596701e+20
708.0cm-1,-5.495955159941226e+19,8.507401450929103e+19,-3.0114462909876957e+19
709.0cm-1,-1.8072307537298033e+18,2.546660607634263e+19,-2.3659375322613506e+19
710.0cm-1,-1.1405965224771189e+20,2.3546272587497485e+20,-1.2140307362727151e+20
711.0cm-1,1.3019574156423735e+20,2.8044274484604564e+20,-4.1063848641028784e+20
712.0cm-1,8.207232467337144e+19,8.919614954926558e+19,-1.7126847422263597e+20
713.0cm-1,-1.0883831955868522e+19,5.046363203550098e+19,-3.957980007963182e+19
714.0cm-1,9.138700247813244e+20,7.29256547904749e+20,-1.643126572686078e+21
715.0cm-1,9.150258198903377e+19,4.347294584602079e+20,-5.262320404492388e+20
716.0cm-1,-2.060385785541699e+20,2.2316325241991922e+20,-1.7124673865746698e+19
717.0cm-1,-2.6544791213631775e+18,2.611597788134139e+19,-2.3461498759978484e+19
718.0cm-1,-7.467377173620666e+19,6.352626082464263e+19,1.1147510911563684e+19
719.0cm-1,1.0811118127415373e+20,2.3241062507283772e+20,-3.4052180634699733e+20
720.0cm-1,-9.742690623303643e+20,1.311241706146066e+21,-3.369726438157017e+20
721.0cm-1,1.9313033045630776e+18,1.7902622572685271e+19,-1.9833925877249036e+19
722.0cm-1,-2.2064233563172987e+19,5.408622114440462e+19,-3.2021987581231006e+19
723.0cm-1,1.7368797717499242e+20,1.35873445132549e+21,-1.5324224285004742e+21
724.0cm-1,-6.072066401951755e+18,1.0185551228666155e+19,-4.113484826714827e+18
725.0cm-1,9.907174479011609e+18,2.265243527551574e+19,-3.255960975452752e+19
726.0cm-1,1.2137961932773075e+19,3.961806752250281e+19,-5.175602945527589e+19
727.0cm-1,-1.1653640888177742e+19,2.930014043957375e+19,-1.7646499551396205e+19
728.0cm-1,-5429211430383846.0,1.6530833989429762e+19,-1.6525404777999237e+19
729.0cm-1,3.9460604279597425e+19,2.4087940329604215e+19,-6.354854460920161e+19
730.0cm-1,-4.025447000130638e+19,1.3569105792530847e+20,-9.543658792400434e+19
731.0cm-1,-3.386944200845115e+17,3.5619732663105114e+19,-3.528103824302039e+19
732.0cm-1,-5.020980465696336e+19,9.240265300990563e+19,-4.219284835294049e+19
733.0cm-1,-4.030825258597141e+19,8.338636310711439e+19,-4.307811052114077e+19
734.0cm-1,7.190326978644849e+17,1.4338751957473596e+20,-1.4410655227260086e+20
735.0cm-1,-1.2480537484483188e+20,2.6075771422607357e+20,-1.3595233938123956e+20
736.0cm-1,-1.027670736820298e+20,1.086114346296277e+20,-5.84436094760102e+18
737.0cm-1,2.5443185882771144e+18,8.160192123630682e+18,-1.0704510711908006e+19
738.0cm-1,4.265839031157873e+18,3.8193972865599386e+18,-8.085236317717652e+18
739.0cm-1,5.043847233820302e+19,8.686498327354756e+19,-1.3730345561174878e+20
740.0cm-1,-5.14840545170444e+18,1.0094993138734758e+19,-4.946587687030567e+18
741.0cm-1,-8.070515818553417e+18,1.736414232677219e+20,-1.6557090744916758e+20
742.0cm-1,-9.455679611310232e+19,1.7222331193881703e+20,-7.766651582571566e+19
743.0cm-1,-1.8217971623870353e+20,1.9485946261095943e+20,-1.2679746372254763e+19
744.0cm-1,-4.617596858995483e+18,1.4901092954734066e+19,-1.0283496095738337e+19
745.0cm-1,8.785258993832124e+18,1.5808142947229577e+19,-2.4593401941062087e+19
746.0cm-1,-1.0079681337393297e+19,5.739507781288883e+19,-4.7315396475495735e+19
747.0cm-1,-1.1390162298973708e+20,2.2817577065336544e+20,-1.1427414766363014e+20
748.0cm-1,3.5078418493633126e+18,4.012786761260425e+19,-4.3635709461967225e+19
749.0cm-1,-2.515545400355765e+20,6.755514079439724e+20,-4.239968679084091e+20
750.0cm-1,-4.710590718222356e+20,7.936813155666501e+20,-3.2262224374440165e+20
751.0cm-1,-2.2956409299209556e+19,4.5453042015948235e+19,-2.249663271673827e+19
752.0cm-1,3.7326339943038755e+19,1.3729757419638053e+20,-1.7462391413942187e+20
753.0cm-1,-1.565090159155113e+20,2.6511989515146288e+20,-1.086108792359501e+20
754.0cm-1,-1.3363043163606114e+19,1.3389690513093465e+20,-1.2053386196733264e+20
755.0cm-1,2.1394946068754642e+20,8.865038981163713e+20,-1.1004533588038999e+21
756.0cm-1,-1.8452146775959097e+20,2.1191935255063006e+20,-2.739788479104348e+19
757.0cm-1,1.4028694788180877e+18,2.9468313859677114e+19,-3.0871183338496233e+19
758.0cm-1,-7.130869040774541e+19,1.1327538225642201e+20,-4.1966691848675975e+19
759.0cm-1,3.8685169456011633e+18,1.8105539680968247e+19,-2.1974056626569638e+19
760.0cm-1,-7.697059367180613e+17,7.270284192937173e+18,-6.500578256219053e+18
761.0cm-1,-1.1385348976413854e+19,2.365624150686513e+19,-1.2270892530450768e+19
762.0cm-1,5.328769650322344e+18,7.980273750078363e+18,-1.3309043400400749e+19
763.0cm-1,-7.163859058844808e+19,1.1663082108629667e+20,-4.499223049784838e+19
764.0cm-1,-3.0059586146441966e+20,1.5240606235331325e+21,-1.2234647620687207e+21
765.0cm-1,9.388328896277794e+19,5.112547288410499e+20,-6.051380178038273e+20
766.0cm-1,-1.288974693918823e+19,1.541104679093769e+20,-1.4122072097018613e+20
767.0cm-1,-4.690986108799497e+18,6.8460089639770915e+19,-6.376910353097106e+19
768.0cm-1,4.5991144912091633e+18,4.605928837229017e+19,-5.065840286349967e+19
769.0cm-1,1.3660544153125353e+18,2.199028270261339e+19,-2.335633711792552e+19
770.0cm-1,-1.992789836049864e+19,2.314714952559941e+19,-3.219251165100494e+18
771.0cm-1,-1.289289810044903e+19,4.5871435232776086e+19,-3.2978537132326244e+19
772.0cm-1,-2.6425255613315343e+18,1.8505720998852116e+19,-1.586319543752015e+19
773.0cm-1,-5.5946318363044045e+19,8.192311270350583e+19,-2.5976794340460225e+19
774.0cm-1,-1.4860022702335744e+20,2.6439125890823507e+20,-1.1579103188487319e+20
775.0cm-1,-2.714857577830901e+20,5.8337368184453313e+20,-3.118879240614385e+20
776.0cm-1,1.8054720893504002e+20,6.0780424202973e+20,-7.883514509647846e+20
777.0cm-1,-2.090501767740494e+19,4.9820706280147957e+20,-4.773020451240697e+20
778.0cm-1,-5.5033101997651087e+20,1.2516685809816334e+21,-7.013375610051022e+20
779.0cm-1,1.4132371743866489e+19,2.1907691216212954e+20,-2.332092839059964e+20
780.0cm-1,-8.029061062973475e+18,1.1095057912617366e+19,-3.065996849643996e+18
781.0cm-1,3.9946505206017e+18,6.035296181211235e+18,-1.0029946701812726e+19
782.0cm-1,-2.727138581434253e+19,1.2611320675699525e+20,-9.884182094265511e+19
783.0cm-1,1.6629122725906233e+19,6.701964195236021e+19,-8.364876467826736e+19
784.0cm-1,-1.0174808425824887e+20,8.845973438394216e+20,-7.828492595811716e+20
785.0cm-1,-1.5091402275502188e+20,3.925337404179094e+20,-2.4161971766288476e+20
786.0cm-1,-1.2883479185067047e+20,1.9250631647362358e+20,-6.367152462295355e+19
787.0cm-1,1.1575659193017016e+19,3.415007563982498e+20,-3.5307641559126055e+20
788.0cm-1,-2.6491011751261495e+19,5.711994290956246e+20,-5.447084173443621e+20
789.0cm-1,-3.1626096765542978e+19,6.112391347753885e+19,-2.949781671199654e+19
790.0cm-1,-1.605170418470121e+19,3.315073717844832e+19,-1.7099032993746305e+19
791.0cm-1,-1.0635193569919658e+19,2.5161344005773177e+19,-1.4526150435854141e+19
792.0cm-1,-8.036816027664461e+17,3.426976068205365e+19,-3.3466079079287505e+19
793.0cm-1,5.264061142181371e+19,3.278730121225531e+20,-3.805136235443643e+20
794.0cm-1,3.622657468594717e+19,5.3167815581207675e+19,-8.93943902671565e+19
795.0cm-1,2.198477793635731e+19,1.0194542655022742e+20,-1.2393020448658475e+20
796.0cm-1,-4.3833895613895214e+18,7.531091693973507e+19,-7.092752737834517e+19
797.0cm-1,-4.507203746394913e+20,9.294296923678837e+20,-4.7870931772839474e+20
798.0cm-1,3.5731980213230316e+18,1.1262911667423785e+19,-1.4836109688746695e+19
799.0cm-1,1.9417917320779635e+18,1.9026907030226653e+19,-2.0968698762304274e+19
800.0cm-1,-5.004517020586118e+20,1.4349830860797575e+21,-9.345313840211793e+20
801.0cm-1,-2.757986280174229e+19,5.4848766194837e+19,-2.7268903393094332e+19
802.0cm-1,1.2902281323029086e+19,3.7472036236278915e+19,-5.037431755930849e+19
803.0cm-1,-5.130343317195513e+19,1.64676290654325e+20,-1.1337285748237165e+20
804.0cm-1,-2.1045908766118422e+20,2.651721832795674e+20,-5.4713095618379416e+19
805.0cm-1,-3.153913585758997e+18,3.734155428507252e+20,-3.702616292649752e+20
806.0cm-1,-1.0386850912505573e+20,1.0042900345201712e+20,3.4395056730392596e+18
807.0cm-1,5.350820612132062e+18,2.064508681483477e+19,-2.599590742696662e+19
808.0cm-1,-1.6206312397338516e+20,8.701882392950305e+20,-7.081251153216533e+20
809.0cm-1,-4.592027614901421e+19,9.183862661453426e+19,-4.5918350465519624e+19
810.0cm-1,-2.748442484617278e+18,2.073106824923356e+19,-1.7982625764616327e+19
811.0cm-1,1.9881014134633664e+17,3.9051908415513533e+18,-4.104000982897817e+18
812.0cm-1,4178901738588275.0,4.63049994554926e+19,-4.630917835723072e+19
813.0cm-1,5.163345270927169e+19,1.0059765316105114e+20,-1.522311058703231e+20
814.0cm-1,-3.7054687004002355e+18,9.41227735808573e+18,-5.706808657685444e+18
815.0cm-1,-2.0183757988833236e+18,1.7470403121648393e+20,-1.7268565541760215e+20
816.0cm-1,-1.3381680808408873e+19,1.551092487951891e+19,-2.1292440711105034e+18
817.0cm-1,1.4566345274836457e+19,3.1500740383496595e+20,-3.295737491097946e+20
818.0cm-1,-1.4488436863774067e+19,2.1230460322412966e+19,-6.742023458639307e+18
819.0cm-1,-9.236303760641732e+17,4.285786418491286e+18,-3.362156042427103e+18
820.0cm-1,-1.7472814808017175e+19,3.1818754977765134e+19,-1.4345940169747237e+19
821.0cm-1,9.23119713934444e+18,6.536307326796657e+19,-7.45942704073103e+19
822.0cm-1,1.62516474246775e+19,8.292850114940789e+19,-9.918014857408543e+19
823.0cm-1,-4.393601730212094e+20,5.231491262635079e+20,-8.378895324229424e+19
824.0cm-1,6.501110234013344e+19,4.1524480167881376e+20,-4.802559040189546e+20
825.0cm-1,1.32906848085896e+19,8.593052603338534e+19,-9.922121084197274e+19
826.0cm-1,-2.864766197670235e+20,8.620031273407713e+20,-5.755265075737237e+20
827.0cm-1,4.358353834319127e+19,6.786029972838489e+19,-1.1144383807157561e+20
828.0cm-1,8.707714788305453e+19,3.0182950334400804e+20,-3.8890665122705755e+20
829.0cm-1,-3.0792479108396266e+20,6.425535776780738e+20,-3.346287865940963e+20
830.0cm-1,7.068135307632087e+18,2.0154678863714816e+19,-2.7222814171347644e+19
831.0cm-1,-7.570748521519611e+18,2.6934204588330885e+19,-1.936345606681149e+19
832.0cm-1,8.530934947076464e+18,3.1943606482917634e+19,-4.047454142999374e+19
833.0cm-1,-2.304106073286066e+18,1.047307552226401e+19,-8.168969448977908e+18
834.0cm-1,-4.821603674218357e+19,1.6602558262921255e+20,-1.178095458870309e+20
835.0cm-1,-9.32131269878003e+18,4.704172957582383e+19,-3.772041687704516e+19
836.0cm-1,-6.853931730225813e+19,2.186350206735536e+20,-1.500957033713006e+20
837.0cm-1,-7.57552941992817e+19,1.1211915804227579e+20,-3.636386384299204e+19
838.0cm-1,-3.7317138221015593e+18,1.1278460457724017e+20,-1.0905289075513808e+20
839.0cm-1,3.917295181747421e+19,1.7572752852096664e+20,-2.1490048033843334e+20
840.0cm-1,-3.7451781421166556e+18,9.279310842652672e+18,-5.534132700536094e+18
841.0cm-1,-2.264671106288639e+20,6.43540558611001e+20,-4.1707344798214724e+20
842.0cm-1,9.042437328088688e+18,2.972779574968222e+19,-3.877023307777015e+19
843.0cm-1,-1.266562877778601e+20,6.579870097245898e+20,-5.313307219467365e+20
844.0cm-1,2.4769533356254108e+20,3.1391662360119067e+21,-3.3868615695744133e+21
845.0cm-1,1.4696844812233838e+18,6.252684553399246e+18,-7.722369034622418e+18
846.0cm-1,2.3653725161249403e+19,6.966992308228908e+19,-9.332364824353925e+19
847.0cm-1,-3.852686411229974e+19,4.888524415187063e+19,-1.0358380039571354e+19
848.0cm-1,-3.13033662684746e+20,5.300064626711708e+20,-2.1697279998641036e+20
849.0cm-1,5.961954594475272e+18,6.481524404254925e+18,-1.2443478998730172e+19
850.0cm-1,1.440505087787633e+18,9.607602685697253e+18,-1.104810777348466e+19
851.0cm-1,1.0100501821266846e+20,2.4891084561503096e+20,-3.499158638276971e+20
852.0cm-1,-2.455748524146984e+19,8.80242733699835e+19,-6.346678812851541e+19
853.0cm-1,2.6846823167903857e+18,9.203778304813226e+18,-1.188846062160348e+19
854.0cm-1,-6.622731054443228e+18,5.818157469298829e+18,8.045735851443101e+17
855.0cm-1,1.6197303177598908e+19,1.3411796978355896e+20,-1.5031527296115927e+20
856.0cm-1,5.933515416141937e+19,2.1006600235569365e+20,-2.694011565171129e+20
857.0cm-1,2.1162867940223324e+19,7.660309909077449e+19,-9.77659670310013e+19
858.0cm-1,9.610629451787058e+17,1.0216883524163303e+19,-1.1177946469342177e+19
859.0cm-1,-7.278564367273491e+18,7.998573432456046e+18,-7.200090651825074e+17
860.0cm-1,7.965713122533064e+18,3.552952069385442e+19,-4.349523381638818e+19
861.0cm-1,-2.546158364756194e+21,4.414232563823142e+21,-1.8680741990668928e+21
862.0cm-1,1.215551763440357e+18,1.0894357245485488e+19,-1.2109909008925938e+19
863.0cm-1,4.7935743455886895e+20,1.3317210478882448e+21,-1.8110784824471407e+21
864.0cm-1,1.1932753275254298e+18,1.1959192502830305e+19,-1.3152467830355829e+19
865.0cm-1,-3.418593737227012e+20,4.125427275205694e+20,-7.068335379785961e+19
866.0cm-1,7.251217415726852e+20,1.1096203339683855e+21,-1.8347420755410614e+21
867.0cm-1,5.958822674701298e+19,1.817429389695906e+20,-2.4133116571660078e+20
868.0cm-1,-4.564126314817283e+19,2.606845860092591e+20,-2.15043322861086e+20
869.0cm-1,-2.29367655028697e+20,1.1566327519598295e+21,-9.272650969311134e+20
870.0cm-1,-1.0495788687704553e+19,8.047166962601122e+19,-6.997588093830657e+19
871.0cm-1,-1.8978730133843326e+20,6.854361985990079e+20,-4.9564889726058116e+20
872.0cm-1,-6.794963266151568e+18,6.760048241822305e+19,-6.080551915207066e+19
873.0cm-1,8.860580272682913e+18,2.7104389534354436e+19,-3.5964969807036854e+19
874.0cm-1,-2.7437010341689045e+19,2.5252515235691908e+20,-2.250881420152305e+20
875.0cm-1,3.4165785368479523e+19,3.0902785667086064e+20,-3.431936420393363e+20
876.0cm-1,3.0008991543684375e+19,9.696197588725516e+19,-1.2697096743094172e+20
877.0cm-1,-2.7041187511178846e+19,8.515775262944613e+19,-5.811656511826677e+19
878.0cm-1,-6.240855755734329e+18,5.583584236626517e+19,-4.959498661053106e+19
879.0cm-1,-8.180169471772846e+19,1.149556978790552e+20,-3.3154003161326907e+19
880.0cm-1,2.672840133064143e+20,1.960353957912186e+20,-4.633194090976351e+20
881.0cm-1,-7.663816171767146e+19,5.301274918386042e+20,-4.534893301209266e+20
882.0cm-1,2.4867285880995217e+19,9.918881462117941e+19,-1.240561005021734e+20
883.0cm-1,-6.116232848257598e+18,1.2359013658236832e+19,-6.242780809979426e+18
884.0cm-1,1.4852085160364906e+19,1.983330589944176e+19,-3.468539105980616e+19
885.0cm-1,1.7339089009081549e+19,5.675202815424793e+19,-7.409111716332791e+19
886.0cm-1,1.5897193564482927e+21,2.004494660337849e+21,-3.5942140167861216e+21
887.0cm-1,-3.157224488934381e+20,1.1398372719560605e+21,-8.241148230626156e+20
888.0cm-1,-2.404423636466855e+18,2.5466781641757905e+19,-2.3062358005290717e+19
889.0cm-1,-7.343385590183968e+19,1.1672852513392596e+20,-4.329466923208703e+19
890.0cm-1,-2.9723480106156175e+18,1.2909234281134596e+20,-1.2611999480073458e+20
891.0cm-1,-1.136617185918108e+19,2.735570439896437e+19,-1.5989532539783006e+19
892.0cm-1,-2.9580262187680997e+21,2.3439234434752834e+21,6.141027752927447e+20
893.0cm-1,-7.726416771241278e+18,3.729304608142269e+19,-2.9566629310181454e+19
894.0cm-1,-4.874204871930236e+19,6.303936545688865e+19,-1.4297316737586758e+19
895.0cm-1,2.0765640808246194e+19,1.6050799177085646e+20,-1.8127363257909913e+20
896.0cm-1,-6.314950029309377e+19,1.058031271660246e+20,-4.265362687292917e+19
897.0cm-1,5.962257975810337e+19,6.002510154156843e+19,-1.1964768129967276e+20
898.0cm-1,-5.916329981232784e+18,7.96983787983405e+19,-7.3782048817108165e+19
899.0cm-1,-2.7214571098241176e+19,7.243812860988543e+19,-4.522355751164616e+19
900.0cm-1,7.637691882767738e+19,2.8931071650099357e+20,-3.6568763532866925e+20
901.0cm-1,-2.2835978205379046e+18,2.3611393612679597e+20,-2.3383033830625965e+20
902.0cm-1,-9.123913319440448e+19,2.2992466599731947e+20,-1.3868553280291444e+20
903.0cm-1,-5.703501683087182e+18,2.1045448075208126e+19,-1.5341946392121313e+19
